"","x","y","num_shots","num_made","prop_made","avg_points","total_points"
"577",22,15,9,4,0.444444444444444,0.888888888888889,8
"578",22,16,4,3,0.75,1.5,6
"579",22,17,2,0,0,0,0
"580",22,18,3,1,0.333333333333333,0.666666666666667,2
"581",22,19,1,1,1,2,2
"582",22,20,1,0,0,0,0
"583",22,21,2,0,0,0,0
"584",22,22,2,2,1,2,4
"585",22,23,7,6,0.857142857142857,1.71428571428571,12
"586",22,24,3,0,0,0,0
"587",22,25,8,4,0.5,1,8
"588",22,26,2,1,0.5,1,2
"589",22,27,3,1,0.333333333333333,0.666666666666667,2
"590",22,28,2,2,1,2,4
"591",22,29,1,1,1,2,2
"592",22,30,5,3,0.6,1.8,9
"593",22,31,6,3,0.5,1.5,9
"594",22,32,1,1,1,3,3
"595",22,33,3,2,0.666666666666667,2,6
"596",22,71,1,0,0,0,0
"597",23,5,4,3,0.75,1.5,6
"598",23,6,16,9,0.5625,1.125,18
"599",23,7,22,14,0.636363636363636,1.27272727272727,28
"600",23,8,11,5,0.454545454545455,0.909090909090909,10
"601",23,9,13,5,0.384615384615385,0.769230769230769,10
"602",23,10,9,5,0.555555555555556,1.11111111111111,10
"603",23,11,16,8,0.5,1,16
"604",23,12,20,10,0.5,1,20
"605",23,13,23,10,0.434782608695652,0.869565217391304,20
"606",23,14,19,7,0.368421052631579,0.736842105263158,14
"607",23,15,10,1,0.1,0.2,2
"608",23,16,9,2,0.222222222222222,0.444444444444444,4
"609",23,17,1,1,1,2,2
"610",23,18,9,5,0.555555555555556,1.11111111111111,10
"611",23,19,6,3,0.5,1,6
"612",23,20,1,0,0,0,0
"613",23,21,3,3,1,2,6
"614",23,22,6,1,0.166666666666667,0.333333333333333,2
"615",23,23,5,2,0.4,0.8,4
"616",23,24,7,2,0.285714285714286,0.571428571428571,4
"617",23,25,8,6,0.75,1.5,12
